Stadium,Split,Set,PA,Hits,Singles,Doubles,Homeruns,Strikeoutper,Walkper,xBA,xSLG,xwOBA,BABIP,AVG,Hits/PA,Singles/PA,Doubles/PA,Homeruns/PA,K_rate,Walk_rate,xBA_avg,xSLG_avg,xwOBA_avg,BABIP_avg,AVG_avg,Hits_boost,Singles_boost,Doubles_boost,Homeruns_boost,K_rate_boost,Walk_rate_boost,xBA_avg_boost,xSLG_avg_boost,xwOBA_avg_boost,BABIP_avg_boost,AVG_avg_boost
"SDP","RHH","",6441,1387,921,244,211,19.7,6.6,0.281,0.503,0.359,0.302,0.275,0.215339233,0.1429902189,0.03788231641,0.03275888837,0.2562355072,0.05863768116,0.230442029,0.3763333333,0.28975,0.2792717391,0.2244275362,0.9694371036,0.9792300465,0.8747185476,1.093031821,1.116341878,0.9064290542,0.9678220527,0.9876684907,0.9744066936,0.9990923231,0.9642108646
"SEA","RHH","",6191,1190,785,209,186,25.3,6.1,0.267,0.437,0.331,0.299,0.238,0.1922145049,0.1267969633,0.03375868196,0.03004361169,0.2497706093,0.04753046595,0.2192867384,0.3349175627,0.2646953405,0.2485232975,0.2032544803,0.8653317386,0.868334892,0.7795021014,1.002434002,1.088176241,0.734732248,0.9209715006,0.8789748194,0.8901498242,0.889090029,0.8732447964
"SFG","RHH","",7024,1578,1062,327,166,23.4,6.8,0.249,0.443,0.326,0.316,0.261,0.2246583144,0.1511958998,0.0465546697,0.0236332574,0.2277370242,0.06423529412,0.2323252595,0.3655397924,0.2879411765,0.2895467128,0.2319584775,1.011390737,1.035424444,1.074966816,0.7885463656,0.9921824658,0.9929576979,0.9757313393,0.9593413686,0.9683237609,1.035850956,0.9965661429
"STL","RHH","",6692,1534,1045,309,162,16.9,6,0.249,0.365,0.293,0.292,0.256,0.2292289301,0.1561566049,0.04617453676,0.02420800956,0.1896344828,0.05734137931,0.2556965517,0.396837931,0.3073172414,0.2850241379,0.2518275862,1.031967222,1.069396499,1.066189387,0.8077235242,0.8261810276,0.8863906482,1.073887271,1.041481808,1.033483959,1.019671482,1.081930046
"TBR","RHH","",3155,736,496,113,121,13.2,9,0.302,0.503,0.379,0.31,0.307,0.2332805071,0.1572107765,0.03581616482,0.0383518225,0.2210588235,0.05260427807,0.2519251337,0.3907754011,0.3040160428,0.2875561497,0.2521818182,1.050207043,1.07661571,0.8270102422,1.279645448,0.963087532,0.8131639089,1.058047879,1.025570994,1.022382285,1.028729733,1.083451937
"TEX","RHH","",6752,1375,925,253,183,17.4,9.8,0.245,0.401,0.32,0.242,0.222,0.2036433649,0.1369964455,0.03747037915,0.02710308057,0.2308694268,0.05917834395,0.2292643312,0.3636847134,0.2866878981,0.2511719745,0.2081815287,0.9167833983,0.9381833017,0.8652067437,0.904320353,1.005829412,0.9147866913,0.9628758982,0.9544728042,0.9641090833,0.898565649,0.8944129367
"TOR","RHH","",7107,1645,1088,312,233,13.9,10.7,0.315,0.561,0.409,0.316,0.301,0.2314619389,0.1530885043,0.04390037991,0.03278457858,0.2179268293,0.06199651568,0.2395574913,0.3847944251,0.2983623693,0.2698118467,0.2305749129,1.042020019,1.048385437,1.013678154,1.093888999,0.9494423648,0.9583503638,1.006105631,1.009874214,1.003369421,0.9652496366,0.9906219168
"WAS","RHH","",6353,1423,992,252,158,20.4,6.7,0.261,0.332,0.294,0.31,0.246,0.2239886668,0.1561467023,0.03966629939,0.02487014009,0.2063084416,0.06417857143,0.2535681818,0.3991103896,0.311974026,0.2838409091,0.2426266234,1.008376046,1.069328684,0.9159114614,0.8298161462,0.8988245058,0.992080871,1.064948435,1.047445765,1.049144363,1.015438491,1.042399833
"ARI","LHH","",5670,1269,799,273,136,20.1,10.5,0.274,0.498,0.371,0.302,0.268,0.2238095238,0.1409171076,0.04814814815,0.02398589065,0.2138274112,0.0753857868,0.2498121827,0.3875786802,0.3054365482,0.3027461929,0.2410101523,1.025279337,1.00761455,1.142908197,0.7561764199,0.9253889314,0.9225983639,1.049787268,1.003088124,0.9998257773,1.085456105,1.04405473
"ATL","LHH","",5033,1119,739,197,165,25,9.7,0.25,0.448,0.339,0.319,0.261,0.2223326048,0.146830916,0.03914166501,0.03278362805,0.2484393939,0.09425252525,0.2280505051,0.3752575758,0.3030959596,0.2681363636,0.2195707071,1.018513519,1.049900681,0.9291183882,1.033532874,1.075180511,1.153496293,0.9583380368,0.9712000094,0.9921640196,0.9613671773,0.9511791645
"BAL","LHH","",6041,1351,850,236,237,23.1,8.6,0.287,0.485,0.365,0.33,0.284,0.2236384705,0.1407051813,0.03906637974,0.03923191525,0.2175116279,0.08117209302,0.2385116279,0.3925116279,0.3075534884,0.2835209302,0.2426046512,1.024495735,1.006099191,0.9273313173,1.236820831,0.9413332548,0.9934132599,1.002298878,1.015855032,1.006755437,1.016526489,1.050962091
"BOS","LHH","",5878,1342,835,327,158,21.4,8.9,0.282,0.449,0.353,0.354,0.288,0.2283089486,0.1420551208,0.05563116706,0.02687989112,0.2006342593,0.08455092593,0.2484490741,0.390162037,0.3160092593,0.3022314815,0.2476296296,1.045891361,1.015751806,1.320535043,0.8474123445,0.8682924316,1.034764632,1.044059069,1.009774082,1.034434828,1.083610676,1.072730272
"CHC","LHH","",4968,1063,699,186,147,28.2,10.3,0.227,0.427,0.326,0.303,0.236,0.2139694042,0.1407004831,0.03743961353,0.02958937198,0.2293910891,0.07342079208,0.2460792079,0.3962772277,0.3065792079,0.2887574257,0.2386930693,0.9802014011,1.006065597,0.8887162405,0.9328311254,0.9927444459,0.898550052,1.034100165,1.02560074,1.003566196,1.035301246,1.034017139
